Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
1504,Vitamine și Minerale,Gerber terci Multicereale cu lapte 240g,Alima-Gerber,Polonia,92
1505,Vitamine și Minerale,Gerber terci Multicereale cu lapte 240g,Alima-Gerber,Polonia,100
1506,Vitamine și Minerale,Maliutca 1amestec lactat (de la 0-6 luni) 350g,Istra-Nutricia,Rusia,"63,94"
1507,Vitamine și Minerale,Maliutca 2 amestec lactat (de la 6-12 luni) 350g,Istra-Nutricia,Rusia,"69,85"
1508,Vitamine și Minerale,Nestle Nan 1 Optipro 800g,Nestle,Olanda,"346,78"
1509,Vitamine și Minerale,Nestle Nan 2 Optipro (6luni+) 800 g,Nestle,Olanda,"336,71"
1510,Vitamine și Minerale,Nestle Nan fara lactoza (0luni+) 400g,Nestle,Olanda,"289,3"
1511,Vitamine și Minerale,Nestle Nestogen 1 (0-6luni) 1000g,Nestle,Rusia,"337,15"
1512,Vitamine și Minerale,Nestle Nestogen 2 ( 6 luni+) 600g,Nestle,Franta,"215,38"
1513,Vitamine și Minerale,Nestle terci 8 cereale-cacao f/lapte 250g ,Nestle,Olanda,"68,66"
1514,Vitamine și Minerale,Nestle terci 8 cereale-fructe f/lapte 250g,Nestle,Olanda,"92,75"
1515,Vitamine și Minerale,Nestle terci de orez fara lapte (4luni+) 200g,Nestle,Rusia,"52,77"
1516,Vitamine și Minerale,"Nestle terci de orez, banane cu lapte (6luni+) 200g",Nestle,Rusia,"74,38"
1517,Vitamine și Minerale,"Nestle terci de ovas, pere,banana cu lapte (6luni +) doypak 220g",Nestle,Rusia,"66,26"
1518,Vitamine și Minerale,Vinni terci cu 3 cereale cu lapte cu fructe  200g,Nutritek,Rusia,"59,38"
1519,Sănătate - Parafarmaceutice,7Actives Spray nasal 50ml 3Chenes,Les 3Chenes,Franta,159
1520,Vitamine și Minerale,A-Cerumen picaturi auriculare 2ml N10 Biessen,Gilbert Laboratoires,Franta,"257,4"
1521,Vitamine și Minerale,A-ferin Forte comp. film. N30,Bilim Pharmaceuticals AS,Turcia,"43,61"
1522,Frumusețe și Igienă - Igienă Personală,Absorbante Always Ultra Night Duo N12******  ,Procteur&Gamble,Germania,"80,48"
1523,Frumusețe și Igienă - Igienă Personală,Absorbante Always Ultra Normal Plus N10**** ,Procteur&Gamble,Germania,"47,25"
1524,Frumusețe și Igienă - Igienă Personală,Absorbante incontenenta ID Extra ****N10 (TVA8),Ontex-NV,Belgia,65
1525,Frumusețe și Igienă - Igienă Personală,Absorbante Naturella Ultra Single Maxi N8***** TVA%,Procteur&Gamble,Germania,"40,01"
1526,Frumusețe și Igienă - Igienă Personală,Absorbante sutien Helen Harper N30 (bra pads) NEW,Ontex-NV,Belgia,"83,75"
1527,Frumusețe și Igienă - Igienă Personală,Absorbante zilnice Discreet Deo Waterlily N20 ,Procteur&Gamble,Germania,"29,01"
1528,Vitamine și Minerale,Ac steril seringa 21G N1,Romed,Olanda,"1,02"
1529,Vitamine și Minerale,Ac steril seringa 23G N1,Romed,Olanda,"0,81"
1530,Sănătate - Medicamente OTC,Acard  comp. film. gastrorez. 75 mg  N30x2,"Pharmaceutical Works Polpharma S.A. (prod.: Actavis hf., Iceland, Islanda; Pharmaceutical Works Polp",Polonia,42
1531,Vitamine și Minerale,ACC 100mg granule pac. N20,"Hexal AG (prod.: Salutas Pharma GmbH, Germania)",Germania,"55,72"
1532,Vitamine și Minerale,ACC 100mg granule pac. N20,"Hexal AG (prod.: Salutas Pharma GmbH, Germania)",Germania,"57,56"
1533,Sănătate - Parafarmaceutice,Accesorii Nebuliser Rossmax N5 sticla+mustiuc,Rossmax International LTD,Elvetia,"106,99"
1534,Vitamine și Minerale,Acid ascorbic comp. masticab.500 mg N30 Piersic KVZ ,Uzina de vitamine din Kiev SAD,Ucraina,"26,32"
1535,Vitamine și Minerale,Acid ascorbic comp. masticab.500 mg N30 Portocala KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"26,37"
1536,Vitamine și Minerale,Acid ascorbic cu zahar 25mg N10  KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"10,12"
1537,Vitamine și Minerale,Acid ascorbic draje N160  Depofarm,Depofarm SRL,Republica Moldova,"36,28"
1538,Vitamine și Minerale,Acid boric pulbere 10g N20 Depofarm ,Depofarm SRL,Republica Moldova,"68,94"
1539,Vitamine și Minerale,Acid folic 5 mg N50,Technolog SAP,Ucraina,"56,14"
1540,Vitamine și Minerale,Acid folic comp. 1mg N50,Technolog SAP,Ucraina,"17,24"
1541,Vitamine și Minerale,Acid nicotinic 1% 1ml sol.inj. N10 (Darnita),"Darnita SAI, Firma farmaceutica",Ucraina,"31,31"
1542,Vitamine și Minerale,Acid salicilic sol.alcool. lotiune 2% 25ml (glicerol) Depo,Depofarm SRL,Republica Moldova,"19,24"
1543,Vitamine și Minerale,Acid succinic 0.1mg N10,ООО Натурфармацевтическая компания ,Rusia,"25,65"
1544,Vitamine și Minerale,Acid succinic 0.1mg N10,ООО Натурфармацевтическая компания ,Rusia,"31,68"
1545,Vitamine și Minerale,Acidolac 3.0g pulbere N10,Polpharma SA,Polonia,"149,88"
1546,Sănătate - Medicamente OTC,Adaptol caps. 300 mg N10x2,OlainFarm SA,Letonia,"139,92"
1547,Sănătate - Medicamente OTC,Adaptol caps. 300 mg N10x2,OlainFarm SA,Letonia,"141,25"
1548,Sănătate - Medicamente OTC,Adaptol comp. 500 mg N10x2,OlainFarm SA,Letonia,"208,19"
1549,Sănătate - Echipamente Medicale,Adaptor Tonometru Rossmax,Rossmax International LTD,Taiwan,198
1550,Sănătate - Medicamente OTC,Ademta comp.gastrorez. 400mg N10x2,"World Medicine LTD, Georgia(PROD: World Medicine Ilac San. ve Ticaret A.Ş., Turcia; )",Georgia,"372,68"
1551,Sănătate - Medicamente OTC,Adenolin caps. N60 (Vitapharm),"Vitapharm-Com SRL, IM",Republica Moldova,207
1552,Sănătate - Medicamente OTC,Aeris caps. N30,Specchiasol SRL,Italia,"153,87"
1553,Sănătate - Medicamente OTC,Aeris picaturi 20ml,Specchiasol SRL,Italia,"222,12"
1554,Vitamine și Minerale,Aeromucil solutie aerosoloterapie Aloe&Uleiuri eterice 5ml N10 Zuccari,Zuccari SRL,Italia,"298,99"
1555,Sănătate - Medicamente OTC,Aevit caps. N50 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"67,29"
1556,Sănătate - Medicamente OTC,"Afrin® spray nazal	0,5mg/ml 15ml	N1","Bayer S.R.L., România(PROD: Berlimed S.A., Spania; )",Romania,"89,26"
1557,Sănătate - Medicamente OTC,Airtal comp. film. 100 mg N10x6,Gedeon Richter PLC,Germania,"206,64"
1558,Sănătate - Medicamente OTC,Airtal comp. film. 100 mg N10x6,Gedeon Richter PLC,Germania,"211,51"
1559,Sănătate - Medicamente OTC,Alendra® comp.70mg N4,Kusum Healthcare Pvt.Ltd,India,"137,7"
1560,Sănătate - Medicamente OTC,Alergostop comp. 25 mg  N20 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"53,38"
1561,Sănătate - Medicamente OTC,Alflutop sol.inj. 1ml N10,Biotehnos SA,Romania,"390,67"
1562,Sănătate - Medicamente OTC,Alflutop sol.inj. 1ml N10,Biotehnos SA,Romania,"391,5"
1563,Sănătate - Medicamente OTC,Alinan Stoptoxin sirop 150ml (1an+) +CADOU Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"183,99"
1564,Sănătate - Medicamente OTC,Alinan Stoptoxin sirop 150ml (1an+) +CADOU Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,184
1565,Sănătate - Medicamente OTC,Alka-Seltzer®comp. eferv.325 mg + 965 mg + 1625 mg N2x5,"Bayer Consumer Care AG  (prod.: Bayer Bitterfeld GmbH, Germania)",Elvetia,"80,38"
1566,Vitamine și Minerale,Alle gel 10 mg + 500 UI/g  100 g (Fiterman),"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"194,19"
1567,Sănătate - Medicamente OTC,Allopurinol-BHFZ comp. 100mg N10x5,"UCF Borsceagov SAI, CSP",Ucraina,"48,41"
1568,Vitamine și Minerale,"Aloe 100% Afine (vedere,microcirculatie) 1000ml Pharmalife",Pharmalife Research SRL,Italia,349
1569,Vitamine și Minerale,Aloe Vera Premium Detox (cu anghinare) 1000ml Pharmalife,Pharmalife Research SRL,Italia,"396,87"
1570,Vitamine și Minerale,Aloe Vera Suc 100% Pulp&Juice 500ml Human Care,Pharmalife Research SRL,Italia,"198,75"
1571,Sănătate - Parafarmaceutice,AloeGyn Crema intima Antiiritatii&Prurit 50ml Zuccari,Zuccari SRL,Italia,"219,99"
1572,Sănătate - Medicamente OTC,Alotendin® comp.5mg+5mg N10x3 (Egis),Egis Pharmaceuticals PLC,Ungaria,"92,19"
1573,Sănătate - Medicamente OTC,Alzepil®comp.film.5mg N14x2 (Egis),Egis Pharmaceuticals PLC,Ungaria,"257,35"
1574,Mamă și Copil,Ambrex® Pediatric sirop 15 mg/5 ml 100 ml N1,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"40,6"
1575,Sănătate - Medicamente OTC,Ambrex® sirop 30 mg/5 ml 150 ml N1,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"60,86"
1576,Sănătate - Medicamente OTC,Ambrex® sirop 30 mg/5 ml 150 ml N1,"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"61,31"
1577,Sănătate - Medicamente OTC,Ambroxol comp. 30 mg N20 (Lekfarm),"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belarus,"18,93"
1578,Vitamine și Minerale,"AminoHepaVital caps. N30 Human Care (aminoacizi,Vit B)",Pharmalife Research SRL,Italia,"127,5"
1579,Sănătate - Medicamente OTC,Amizon Max caps. 500mg N10x2,Farmak SA,Ucraina,"155,53"
1580,Sănătate - Medicamente OTC,Amoxicilina 250 mg caps. N10x2 (Antibiotice),"Antibiotice SA, SC",Romania,"26,34"
1581,Sănătate - Medicamente OTC,Amoxicilina pulb./sol. inj.1 g N10 (China),Zhuhai United Laboratories (Zhongshan) Co. Ltd,China,"141,06"
1582,Sănătate - Medicamente OTC,Ampril comp. 5mg N30,"KRKA d.d., Novo mesto",Slovenia,"44,1"
1583,Sănătate - Medicamente OTC,Anaferon comp. homeopat. N20,"Materia Medica Holding SRL, FSP",Rusia,"81,58"
1584,Mamă și Copil,Anaferon comp. homeopat. N20 p/u copii,"Materia Medica Holding SRL, FSP",Rusia,"85,15"
1585,Mamă și Copil,Anaferon kids pic. orale 25ml N1,FSP Materia Medica Holding SRL,Rusia,"100,74"
1586,Vitamine și Minerale,Anaftin apa de gura 120ml,Alliance Pharma,Italia,"182,29"
1587,Sănătate - Medicamente OTC,Analgina sol.inj. 50% 2ml N10 (Zdorovie),"Zdorovie SRL, Companie farmaceutica",Ucraina,"27,22"
1588,Sănătate - Medicamente OTC,Anaprilin comp. 10mg N10x5 (Zdorovie),"Zdorovie SRL, Companie farmaceutica",Ucraina,"13,1"
1589,Sănătate - Parafarmaceutice,"Anauran® pic. auric., sol.1000000 UI + 0,5 g + 4 g/100 ml 25 ml N1",Zambon  S.P.A.,Italia,"97,28"
1590,Sănătate - Parafarmaceutice,"Aneczem crema 0,5 mg + 10 mg + 1000 UI 15 g N1",FarmaPrim SRL,Republica Moldova,"49,89"
1591,Sănătate - Medicamente OTC,Angioflux caps.250ULS N25X2,Aesculapius Farmaceutici SRL,Italia,"430,52"
1592,Sănătate - Medicamente OTC,Angioflux sol. inj.600 ULS 2 ml N5x2,Aesculapius Farmaceutici SRL,Italia,"399,53"
1593,Sănătate - Medicamente OTC,Angioflux sol. inj.600 ULS 2 ml N5x2,Aesculapius Farmaceutici SRL,Italia,"400,05"
1594,Sănătate - Medicamente OTC,Ansimar comp.400 mg N10x2,ABC Farmaceutici SpA,Italia,"166,02"
1595,Sănătate - Medicamente OTC,"Antiacid comp.N30 (hiperaciditate,reflux gastric) Pharmalife",Pharmalife Research SRL,Italia,189
1596,Vitamine și Minerale,Apa de gura Parodontax daily/gum care/fresh mint 500ml,"GlaxoSmithKline Consumer Healthcare, GlaxoSmithKline Export Ltd (prod.: GlaxoSmithKline Consumer Hea",Marea Britanie,"135,87"
1597,Vitamine și Minerale,Apa de mare spray nasal 0.9% 30ml  Flumed Farm,Flumed-Farm SRL,Republica Moldova,"60,37"
1598,Vitamine și Minerale,Apa minerala - Morsinskaia - 1.5l negazata,Nova SRL,Ucraina,"18,61"
1599,Vitamine și Minerale,"Apa minerala Borjomi gazata sticla 0,5l",Borjomi,Georgia,"43,74"
1600,Vitamine și Minerale,"Apa minerala Borjomi gazata sticla 0,5l",Borjomi,Georgia,"43,73"
1601,Mamă și Copil,"Apa minerala copii Morsinskaia negazata 0,33l",Morshinskii Zavod,Ucraina,"11,96"
1602,Vitamine și Minerale,"Apa minerala Izvorul minunilor plata 0,5l",European drinks,Romania,"10,16"
1603,Vitamine și Minerale,Apa minerala Izvorul minunilor plata 2l,European drinks,Romania,"19,92"
1604,Vitamine și Minerale,Apa minerala PEO ReO 950ml,Iuria-Farm SRL,Ucraina,"44,66"
1605,Vitamine și Minerale,Apa oxigenata Elody solutie 3% 250ml FZ,Farmac Zabban SPA,Italia,19
1606,Sănătate - Parafarmaceutice,Apa oxigenata sol. 3% 1000ml MC,MC Pharmaceuticals SRL,Republica Moldova,"32,59"
1607,Sănătate - Parafarmaceutice,Apa oxigenata sol. 3% 40ml MC,MC Pharmaceuticals SRL,Republica Moldova,"7,56"
1608,Sănătate - Medicamente OTC,Apa p/u injectii solv.2 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"18,76"
1609,Sănătate - Parafarmaceutice,Apa purificata 1000ml MC,MC Pharmaceuticals SRL,Republica Moldova,"20,49"
1610,Sănătate - Parafarmaceutice,Aphta Plus tub 10ml Biessen,VitroBio,Franta,"187,2"
1611,Sănătate - Medicamente OTC,Aprazol caps. 30mg N14,Bilim Pharmaceuticals AS,Turcia,"52,73"
1612,Sănătate - Medicamente OTC,Arcoxia® comp. film. 60 mg N7x4,"Schering-Plough Central East AG (prod.: Centocor BV, Olanda)",Elvetia,"324,45"
1613,Sănătate - Medicamente OTC,Arcoxia® comp. film. 90 mg N7x4,"Merck Sharp & Dohme IDEA GmbH, Elveţia(PROD: Organon Pharma (UK) Limited, Marea Britanie; )",Elvetia,"336,16"
1614,Sănătate - Medicamente OTC,Arcoxia® comp. film. 90 mg N7x4,"Merck Sharp & Dohme IDEA GmbH, Elveţia(PROD: Organon Pharma (UK) Limited, Marea Britanie; )",Elvetia,"349,1"
1615,Vitamine și Minerale,Artihol comp.filmate 200mg N10x3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"42,34"
1616,Sănătate - Parafarmaceutice,"Artrocol gel 2,5% 45g","World Medicine (prod.: Rompharm Company SRL, SC, Romania)",Romania,"37,6"
1617,Sănătate - Medicamente OTC,Ascorutin comp. N10x5 (Ucraina),Technolog SAP,Ucraina,"27,28"
1618,Sănătate - Medicamente OTC,Asist® Plus gran./sol.or. 600 mg/3 g N30,Bilim Pharmaceuticals AS,Turcia,"91,49"
1619,Sănătate - Medicamente OTC,ASK comp. gastrorez. 75 mg  N10x6,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Belorusia,"35,49"
1620,Vitamine și Minerale,Ata dentara President Sensitive 50m,Betafarma S.p.A,Italia,"66,25"
1621,Sănătate - Medicamente OTC,Atoris comp. film. 10mg N10x3,"KRKA d.d., Novo mesto",Slovenia,"48,96"
1622,Sănătate - Medicamente OTC,Atoris comp. film. 20mg N10x3,"KRKA d.d., Novo mesto",Slovenia,"57,39"
1623,Vitamine și Minerale,Atoxil plus plic 2g N10,Orisil-Pharm SRL,Ucraina,"229,93"
1624,Sănătate - Medicamente OTC,Aurobin unguent 20g (Gedeon),Gedeon Richter PLC,Ungaria,"67,1"
1625,Mamă și Copil,BabyCoccole Crema protectie insecte copii 75ml,Betafarma S.p.A,Italia,135
1626,Mamă și Copil,BabyCoccole Lapte protectie solara SPF30 200ml,Betafarma S.p.A,Italia,"262,24"
1627,Mamă și Copil,BabyCoccole Sampon copii 0luni+250ml,Betafarma S.p.A,Italia,148
1628,Mamă și Copil,BabyCoccole Sapun lichid copii 0luni+250ml 0luni,Betafarma S.p.A,Italia,123
1629,Sănătate - Medicamente OTC,Bacoderm ung.20 mg/g15 g N1,Bilim Ilac Sanayi Ve Ticaret A.?.,Turcia,"56,5"
1630,Sănătate - Medicamente OTC,Bactox susp. 125mg/5ml 60ml,Laboratoire Innotech International,Franta,"47,04"
1631,Sănătate - Medicamente OTC,Bactox susp. 250mg/5ml 60ml,Laboratoire Innotech International,Franta,"54,43"
1632,Sănătate - Medicamente OTC,Balonix comp. N20 Fiterman,"Fiterman Pharma SRL SC (prod.: Fiterman Pharma SRL SC, Romania)",Romania,"117,63"
1633,Vitamine și Minerale,Balsam buze Pharma Doct Classic,EUROSIREL,Italia,"42,99"
1634,Frumusețe și Igienă - Protecție Solară,Balsam buze Pharma Doct Fruit capsuna,EUROSIREL,Italia,48
1635,Vitamine și Minerale,Balsam В.Дикуля Forte pentru articulatii 75ml,Korolev-Farm,Rusia,"129,8"
1636,Sănătate - Parafarmaceutice,Balsam В.Дикуля Живокост tataneasa incalzitor 125ml,Korolev-Farm,Rusia,"101,12"
1637,Vitamine și Minerale,Balsam Скорая помощь echimoze si vanatai 75ml,FORA Farm,Rusia,"101,13"
1638,Vitamine și Minerale,Balsam Софья Venin de albini 125ml,Korolev-Farm,Rusia,"131,31"
1639,Sănătate - Parafarmaceutice,Balsam Спасатель 30g,Efect,Rusia,"158,48"
1640,Vitamine și Minerale,Banbakt ovule 100 mg N3 (Clindamicin),Kusum Healthcare Pvt.Ltd,India,"84,28"
1641,Vitamine și Minerale,Bandaj elastic medical 2mx10cm ,Belpa-Med,Belorusia,79
1642,Vitamine și Minerale,Bandaj elastic medical 2mx12cm ,Belpa-Med,Belorusia,"88,99"
1643,Vitamine și Minerale,Bandaj elastic medical 2mx12cm ,Belpa-Med,Belorusia,89
1644,Vitamine și Minerale,Bandaj elastic medical 2mx8cm ,Belpa-Med,Belorusia,69
1645,Vitamine și Minerale,Bandaj elastic medical 60cmx8cm ,Belpa-Med,Belorusia,39
1646,Vitamine și Minerale,Bandaj fixator glezna elastic DR. PROTEC ,Bericah SPA,Italia,"68,99"
1647,Sănătate - Echipamente Medicale,Bandaj nesteril 7mx14cm N1 Clinic'S,"SUZHOU HENG XIANG Import& Export Co.,LTD",China,"7,98"
1648,Sănătate - Echipamente Medicale,Bandaj steril 5mx10cm Clinic'S,"SUZHOU HENG XIANG Import& Export Co.,LTD",China,"5,98"
1649,Sănătate - Echipamente Medicale,Bandaj steril 7mx14cm Clinic'S,"SUZHOU HENG XIANG Import& Export Co.,LTD",China,"9,98"
1650,Sănătate - Medicamente OTC,Baneocin pulb. cutan. 250 UI + 5000 UI/g 10 g N1,"Sandoz GmbH (prod.: Montavit Pharmazeutische Fabrik GmbH, Austria)",Austria,"85,94"
1651,Sănătate - Parafarmaceutice,Baneocin ung. 20g,"Sandoz GmbH (prod.: Merck KGaA&Co. Werk Spittal, Austria)",Austria,"71,4"
1652,Sănătate - Echipamente Medicale,Baston (miner plastic) ,Mediprof-Raileanu,Republica Moldova,"232,87"
1653,Vitamine și Minerale,Baterie Tesla N5 CR 2025 N5,Tesla Batteries a.s.,Cehia,"147,64"
1654,Vitamine și Minerale,Batonas proteic cu arahide GO ON Energy 45g,Sante,Polonia,"17,81"
1655,Sănătate - Medicamente OTC,"Benevron sol. inj. 50 mg/50 mg/0,5 mg/ml 2ml N5",Mefar Ilac Sanayi ve Ticaret A.S,Georgia,"56,13"
1656,Vitamine și Minerale,"Benzi depilatoare Depil Fruit corp,bikini N10",EUROSIREL,Italia,51
1657,Sănătate - Parafarmaceutice,Benzilbenzoat 20% ung. 30g (Letonia),"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Estonia,"42,53"
1658,Sănătate - Medicamente OTC,Bepansept® crema 50 mg/5 mg/g  30 g N1,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Romania,"114,92"
1659,Sănătate - Parafarmaceutice,Bepanthen ung. 5% 100g N1,"Bayer Consumer Care AG  (prod.: GP Grenzach Produktions GmbH, Germania)",Elvetia,"293,75"
1660,Sănătate - Parafarmaceutice,Bepanthen® crema 5% 30 g N1,"Bayer Consumer Care AG  (prod.: GP Grenzach Produktions GmbH, Germania)",Elvetia,"161,25"
1661,Sănătate - Parafarmaceutice,Bepanthen® ung. 5% 30 g N1,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Elvetia,"161,37"
1662,Vitamine și Minerale,Berberine 500mg (regulator metabolic natural) comp. N30 Human Care,Pharmalife Research SRL,Italia,287
1663,Vitamine și Minerale,Betadine sol. 10%120ml (Egis),Egis Pharmaceuticals PLC,Ungaria,126
1664,Vitamine și Minerale,Betadine sol. 10%120ml (Egis),Egis Pharmaceuticals PLC,Ungaria,"126,64"
1665,Vitamine și Minerale,Betadine ung. 20g (Egis),Egis Pharmaceuticals PLC,Ungaria,"67,06"
1666,Sănătate - Parafarmaceutice,Betadine® sol. cutan. 10% 1000 ml N1 (Egis),Egis Pharmaceuticals PLC,Ungaria,"289,94"
1667,Vitamine și Minerale,Betaserc comp.16mg N30,"Solvay Pharmaceuticals BV (prod.: Solvay Pharmaceuticals BV, Olanda; Solvay Pharmaceuticals SA, Fran",Olanda,"96,06"
1668,Sănătate - Medicamente OTC,Betaspan Depo susp. inj. 2 mg + 5 mg/ml  1 ml N5,Farmak SAP,Ucraina,"111,62"
1669,Sănătate - Parafarmaceutice,Bethagen crema 15g,Bosnalijek d.d.,Bosnia si Hertegovina,"46,03"
1670,Vitamine și Minerale,Betisoare de vata Bambino N100,Hira Pamuk PLS Kozm ve Temizlik San LTD STI,Turcia,"13,29"
1671,Sănătate - Medicamente OTC,Bicilina-5pulb.sol. inj.1500000 UA N1,Kievmedpreparat SA,Ucraina,"24,07"
1672,Sănătate - Medicamente OTC,Bidop comp. 5mg N14x2 (Gedeon),"Gedeon Richter PLC (prod.: Gedeon Richter-Rus SAI, Rusia; Niche Generics Limited, Irlanda)",Ungaria,"38,5"
1673,Sănătate - Medicamente OTC,Bidop comp. 5mg N14x2 (Gedeon),"Gedeon Richter PLC (prod.: Gedeon Richter-Rus SAI, Rusia; Niche Generics Limited, Irlanda)",Ungaria,"38,15"
1674,Sănătate - Medicamente OTC,"Bidop comp.2,5 mg N14x2 (Gedeon)",Gedeon Richter PLC,Ungaria,"28,78"
1675,Vitamine și Minerale,Bilomag Forte caps. N120 Zdrovit,NP Pharma Sp.z.o.o.,Polonia,"531,05"
1676,Vitamine și Minerale,Bilomag Forte caps. N120 Zdrovit,NP Pharma Sp.z.o.o.,Polonia,"531,07"
1677,Frumusețe și Igienă - Îngrijire Păr,"Bio 12 Sampon Antimatreata intensiv portocala verde,12 extracte organice 250ml",M&D Pharmacy S.r.l.,Italia,"199,87"
1678,Vitamine și Minerale,Biovie Solutie-spray curatarea suprafetelor din sticla Menta 750ml+Hygienium Profesional servetele fine cosmetice 2 straturi N150 CADOU,Lea Nature,Franta,119
1679,Vitamine și Minerale,Bisacodil 5mg comp. enterosolubile N40 (Grindex),Grindeks SA,Letonia,"28,84"
1680,Sănătate - Medicamente OTC,Biseptol comp. 480mg N28 Polfa/Adamed,"Adamed Pharma S.A., Polonia",Polonia,"63,31"
1681,Sănătate - Medicamente OTC,Biseptol susp. orala 200 mg + 40 mg/5 ml 80 ml N1,Medana Pharma SA,Polonia,"59,14"
1682,Sănătate - Medicamente OTC,Biseptrim comp. 480mg N20 (Eurofarmaco),"Eurofarmaco SA, ICS",Republica Moldova,"40,77"
1683,Sănătate - Medicamente OTC,Bisogamma-5 comp. 5mg N30,"Worwag Pharma GmbH&Co.KG (prod.: Artesan Pharma GmbH&Co.KG, Germania)",Germania,"32,35"
1684,Sănătate - Parafarmaceutice,Bisturiu steril cu lama Romed N22,Romed,Olanda,"12,26"
1685,Sănătate - Medicamente OTC,"Bixtonim Xylo pic. naz. 0,5 mg/ml 10ml","Biofarm SA, SC",Romania,"23,31"
1686,Sănătate - Parafarmaceutice,Bixtonim Xylo spray naz. 0.05% 10ml,"Biofarm SA, SC",Romania,"36,87"
1687,Sănătate - Medicamente OTC,Blemaren comp. eferv. N20x4,"Esparma GmbH  (prod.: Salutas PWO GmbH, Germania)",Germania,"381,42"
1688,Vitamine și Minerale,Bobotic pic orale 30 ml,Medana Pharma SA,Polonia,"76,07"
1689,Vitamine și Minerale,Bobotic pic orale 30 ml,Medana Pharma SA,Polonia,"74,46"
1690,Vitamine și Minerale,Bom-Benghe Farmavit Nature crema 25g Depo,Depofarm SRL,Republica Moldova,"42,15"
1691,Vitamine și Minerale,Bom-Benghe Farmavit Nature crema 25g Depo,Depofarm SRL,Republica Moldova,"42,13"
1692,Sănătate - Medicamente OTC,"Boneta gofrata albastra 3,8g N100",Shanghai Channelmed Import &Export Co Ltd,China,"112,5"
1693,Sănătate - Medicamente OTC,Botamin G caps. N30 Pharmaris,Honor Pharmaceutecal Industry Limited Company,Turcia,"310,79"
1694,Sănătate - Medicamente OTC,Botamin G caps. N30 Pharmaris,Honor Pharmaceutecal Industry Limited Company,Turcia,"314,19"
1695,Sănătate - Medicamente OTC,Boulardin 200mg caps. N30 Human Care,Pharma Nature,Franta,"269,31"
1696,Sănătate - Medicamente OTC,Breizin caps. N30,"Healtherco 225Franklin ST.Boston,MA02110USA",SUA,"380,19"
1697,Sănătate - Medicamente OTC,Brewers Yeast 300mg VEGAN comp. N500 (drojdii bere) Natures Aid,Natures Aid,Marea Britanie,199
1698,Sănătate - Medicamente OTC,"Brimoptic™ pic. oft., sol. 2 mg + 5 mg/ml 10 ml N1",Liqvor SAI,Armenia,"156,21"
1699,Sănătate - Medicamente OTC,Bromhexin sirop 4mg/5ml 60ml (Germania),Berlin-Chemie AG (Menarini Group),Germania,"30,66"
1700,Sănătate - Medicamente OTC,Bromocriptin comp. 2.5mg N30 (Gedeon),Gedeon Richter PLC,Ungaria,"122,34"
1701,Vitamine și Minerale,"BRONHOMER Vegan sirop 125ml 3+(bronsite,traheite,tuse,voce ragusita) Eric Favre",ERIC FAVRE WELLNESS,Franta,"118,99"
1702,Vitamine și Minerale,Brufen® granule efervescente 600 mg	N30,"Abbott Laboratories GmbH, Germania(PROD: AbbVie S.r.l , Italia; )",Germania,"126,61"
1703,Sănătate - Medicamente OTC,Brufen® Rapid caps. moi 400mg N10,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Germania,"40,35"
1704,Sănătate - Medicamente OTC,Brustan comp. N10,Ranbaxy Laboratories Ltd,India,"39,23"
1705,Vitamine și Minerale,Calciu 625mg+Vit D3 10mcg Forte comp. N60 Olimp,Olimp,Polonia,229
1706,Vitamine și Minerale,Calciu gluconat Forte comp. N10,Farmgrupp,Rusia,"7,53"
1707,Sănătate - Medicamente OTC,Calciu gluconat sol. inj. 10% 5 ml N5x2 (Iuria),Iuria-Farm SRL,Ucraina,"30,44"
1708,Sănătate - Medicamente OTC,Calciu gluconat sol. inj. 10% 5 ml N5x2 (Iuria),Iuria-Farm SRL,Ucraina,"29,79"
